Tanggal,Produk,total_revenue,total_revenue_ema_10,total_revenue_lag_1,revenue_class
2024-01-10,Apple Music,44958.0,44958.0,44958.0,Bad for Sale
2024-01-11,Apple Music,44958.0,44958.0,44958.0,Bad for Sale
2024-01-14,Apple Music,19958.0,44958.0,44958.0,Bad for Sale
2024-01-15,Apple Music,19958.0,40412.54545454545,19958.0,Bad for Sale
2024-01-21,Apple Music,19958.0,36693.537190082636,19958.0,Bad for Sale
2024-02-06,Apple Music,44958.0,33650.71224643125,19958.0,Bad for Sale
2024-02-07,Apple Music,44958.0,35706.58274708011,44958.0,Bad for Sale
2024-02-13,Apple Music,119874.0,37388.65861124736,44958.0,Bad for Sale
2024-02-14,Apple Music,64916.0,52385.99340920238,119874.0,Bad for Sale
2024-02-15,Apple Music,94874.0,54664.17642571103,64916.0,Bad for Sale
2024-02-16,Apple Music,119874.0,61975.053439218114,94874.0,Bad for Sale
2024-02-21,Apple Music,39916.0,72502.13463208755,119874.0,Bad for Sale
2024-02-22,Apple Music,19958.0,66577.3828807989,39916.0,Bad for Sale
2024-02-23,Apple Music,109874.0,58101.131447926375,19958.0,Bad for Sale
2024-02-24,Apple Music,29958.0,67514.38027557611,109874.0,Bad for Sale
2024-02-26,Apple Music,39916.0,60685.947498198635,29958.0,Bad for Sale
2024-02-27,Apple Music,254622.0,56909.59340761706,39916.0,Bad for Sale
2024-02-28,Apple Music,154790.0,92857.30369714124,254622.0,Bad for Sale
2024-02-29,Apple Music,364538.0,104117.79393402465,154790.0,Bad for Sale
2024-03-01,Apple Music,714118.0,151466.9223096565,364538.0,Normal Sale
2024-03-02,Apple Music,89916.0,253767.11825335532,714118.0,Bad for Sale
2024-03-03,Apple Music,159790.0,223976.00584365436,89916.0,Bad for Sale
2024-03-04,Apple Music,29958.0,212305.8229629899,159790.0,Bad for Sale
2024-03-05,Apple Music,29958.0,179151.67333335537,29958.0,Bad for Sale
2024-03-06,Apple Music,19958.0,152025.55090910892,29958.0,Bad for Sale
2024-03-08,Apple Music,19958.0,128013.26892563456,19958.0,Bad for Sale
2024-03-10,Apple Music,39916.0,108366.856393701,19958.0,Bad for Sale
