Tanggal,Produk,lstm_forecasted_revenue,xgboost_predicted_class
2024-12-31,IQIYI VIP,391886.98472976685,Bad for Sale
2025-01-01,IQIYI VIP,395249.08349877596,Bad for Sale
2025-01-02,IQIYI VIP,389833.4894120097,Bad for Sale
2025-01-03,IQIYI VIP,385342.44694662094,Bad for Sale
2025-01-04,IQIYI VIP,379553.3734434843,Bad for Sale
2025-01-05,IQIYI VIP,373907.8709399104,Bad for Sale
2025-01-06,IQIYI VIP,368224.40278065205,Bad for Sale
2025-01-07,IQIYI VIP,362735.324480474,Bad for Sale
2025-01-08,IQIYI VIP,357437.8563261628,Bad for Sale
2025-01-09,IQIYI VIP,352367.51687544584,Bad for Sale
2025-01-10,IQIYI VIP,347522.1203709245,Bad for Sale
2025-01-11,IQIYI VIP,342900.8590326905,Bad for Sale
2025-01-12,IQIYI VIP,338496.2727757096,Bad for Sale
2025-01-13,IQIYI VIP,334300.47386676073,Bad for Sale
2025-01-14,IQIYI VIP,330304.2916280627,Bad for Sale
2025-01-15,IQIYI VIP,326498.8879970908,Bad for Sale
2025-01-16,IQIYI VIP,322875.30612015724,Bad for Sale
2025-01-17,IQIYI VIP,319424.9930335283,Bad for Sale
2025-01-18,IQIYI VIP,316139.7283887267,Bad for Sale
2025-01-19,IQIYI VIP,313011.55317783356,Bad for Sale
2025-01-20,IQIYI VIP,310033.0548322797,Bad for Sale
2025-01-21,IQIYI VIP,307196.96333289146,Bad for Sale
2025-01-22,IQIYI VIP,304496.48382514715,Bad for Sale
2025-01-23,IQIYI VIP,301925.1303115487,Bad for Sale
2025-01-24,IQIYI VIP,299476.7018933892,Bad for Sale
2025-01-25,IQIYI VIP,297145.3065289855,Bad for Sale
2025-01-26,IQIYI VIP,294925.31351721287,Bad for Sale
2025-01-27,IQIYI VIP,292811.42477220297,Bad for Sale
2025-01-28,IQIYI VIP,290798.5560321808,Bad for Sale
2025-01-29,IQIYI VIP,288881.86061769724,Bad for Sale
