Tanggal,Produk,lstm_forecasted_revenue,xgboost_predicted_class
2024-12-31,Vidio Premier,280200.26814582944,Bad for Sale
2025-01-01,Vidio Premier,280726.0627296865,Bad for Sale
2025-01-02,Vidio Premier,285091.6826364696,Bad for Sale
2025-01-03,Vidio Premier,284298.0961458683,Bad for Sale
2025-01-04,Vidio Premier,283269.5053926408,Bad for Sale
2025-01-05,Vidio Premier,282022.6963955462,Bad for Sale
2025-01-06,Vidio Premier,280831.5479541123,Bad for Sale
2025-01-07,Vidio Premier,279719.08985856175,Bad for Sale
2025-01-08,Vidio Premier,278696.13104994595,Bad for Sale
2025-01-09,Vidio Premier,277758.6240583211,Bad for Sale
2025-01-10,Vidio Premier,276900.6231817156,Bad for Sale
2025-01-11,Vidio Premier,276115.6807063818,Bad for Sale
2025-01-12,Vidio Premier,275397.70973953605,Bad for Sale
2025-01-13,Vidio Premier,274740.9998972267,Bad for Sale
2025-01-14,Vidio Premier,274140.35849514604,Bad for Sale
2025-01-15,Vidio Premier,273590.96935781837,Bad for Sale
2025-01-16,Vidio Premier,273088.45557007194,Bad for Sale
2025-01-17,Vidio Premier,272628.863789171,Bad for Sale
2025-01-18,Vidio Premier,272208.5073661357,Bad for Sale
2025-01-19,Vidio Premier,271824.04478508234,Bad for Sale
2025-01-20,Vidio Premier,271472.38553601503,Bad for Sale
2025-01-21,Vidio Premier,271150.73717842996,Bad for Sale
2025-01-22,Vidio Premier,270856.5425898433,Bad for Sale
2025-01-23,Vidio Premier,270587.4642779231,Bad for Sale
2025-01-24,Vidio Premier,270341.3686926216,Bad for Sale
2025-01-25,Vidio Premier,270116.24778683484,Bad for Sale
2025-01-26,Vidio Premier,269910.37589508295,Bad for Sale
2025-01-27,Vidio Premier,269722.07441549003,Bad for Sale
2025-01-28,Vidio Premier,269549.82162486017,Bad for Sale
2025-01-29,Vidio Premier,269392.28405441344,Bad for Sale
