Tanggal,Produk,lstm_forecasted_revenue,xgboost_predicted_class
2024-12-31,WeTV VIP,3524029.1827560663,Good for Sale
2025-01-01,WeTV VIP,3668789.3226548433,Good for Sale
2025-01-02,WeTV VIP,3765770.7607246637,Good for Sale
2025-01-03,WeTV VIP,3837887.9320133924,Good for Sale
2025-01-04,WeTV VIP,3893490.998742938,Good for Sale
2025-01-05,WeTV VIP,3939227.541332841,Good for Sale
2025-01-06,WeTV VIP,3977235.176273942,Good for Sale
2025-01-07,WeTV VIP,4010546.6274017096,Good for Sale
2025-01-08,WeTV VIP,4040817.5303291082,Good for Sale
2025-01-09,WeTV VIP,4068793.547031164,Good for Sale
2025-01-10,WeTV VIP,4094946.486711383,Good for Sale
2025-01-11,WeTV VIP,4119831.879277706,Good for Sale
2025-01-12,WeTV VIP,4143717.318009734,Good for Sale
2025-01-13,WeTV VIP,4166785.1106096506,Good for Sale
2025-01-14,WeTV VIP,4189144.7981860638,Good for Sale
2025-01-15,WeTV VIP,4210866.800023079,Good for Sale
2025-01-16,WeTV VIP,4232001.19205606,Good for Sale
2025-01-17,WeTV VIP,4252579.271744609,Good for Sale
2025-01-18,WeTV VIP,4272626.077056408,Good for Sale
2025-01-19,WeTV VIP,4292161.9513401985,Good for Sale
2025-01-20,WeTV VIP,4311203.325762272,Good for Sale
2025-01-21,WeTV VIP,4329764.284179449,Good for Sale
2025-01-22,WeTV VIP,4347858.128012061,Good for Sale
2025-01-23,WeTV VIP,4365496.593807459,Good for Sale
2025-01-24,WeTV VIP,4382692.200549483,Good for Sale
2025-01-25,WeTV VIP,4399455.902348995,Good for Sale
2025-01-26,WeTV VIP,4415797.870880365,Good for Sale
2025-01-27,WeTV VIP,4431729.060254455,Good for Sale
2025-01-28,WeTV VIP,4447259.642145634,Good for Sale
2025-01-29,WeTV VIP,4462399.005791783,Good for Sale
