Tanggal,Produk,lstm_forecasted_revenue,xgboost_predicted_class
2024-11-30,Youtube Premium,48325.767983973026,Bad for Sale
2024-12-01,Youtube Premium,49325.02727329731,Bad for Sale
2024-12-02,Youtube Premium,50319.33781465888,Bad for Sale
2024-12-03,Youtube Premium,50561.563623189926,Bad for Sale
2024-12-04,Youtube Premium,50746.375768482685,Bad for Sale
2024-12-05,Youtube Premium,50876.35096040368,Bad for Sale
2024-12-06,Youtube Premium,50983.84026530385,Bad for Sale
2024-12-07,Youtube Premium,51073.15687143803,Bad for Sale
2024-12-08,Youtube Premium,51148.19169688225,Bad for Sale
2024-12-09,Youtube Premium,51211.29092645645,Bad for Sale
2024-12-10,Youtube Premium,51264.38062924147,Bad for Sale
2024-12-11,Youtube Premium,51309.05939948559,Bad for Sale
2024-12-12,Youtube Premium,51346.66729867458,Bad for Sale
2024-12-13,Youtube Premium,51378.31601768732,Bad for Sale
2024-12-14,Youtube Premium,51404.9535099864,Bad for Sale
2024-12-15,Youtube Premium,51427.36399161816,Bad for Sale
2024-12-16,Youtube Premium,51446.232574403286,Bad for Sale
2024-12-17,Youtube Premium,51462.11079490185,Bad for Sale
2024-12-18,Youtube Premium,51475.48124760389,Bad for Sale
2024-12-19,Youtube Premium,51486.72742277384,Bad for Sale
2024-12-20,Youtube Premium,51496.19403076172,Bad for Sale
2024-12-21,Youtube Premium,51504.165457606316,Bad for Sale
2024-12-22,Youtube Premium,51510.87007391453,Bad for Sale
2024-12-23,Youtube Premium,51516.510397017,Bad for Sale
2024-12-24,Youtube Premium,51521.26309096813,Bad for Sale
2024-12-25,Youtube Premium,51525.26603990793,Bad for Sale
2024-12-26,Youtube Premium,51528.631274700165,Bad for Sale
2024-12-27,Youtube Premium,51531.46220844984,Bad for Sale
2024-12-28,Youtube Premium,51533.84501874447,Bad for Sale
2024-12-29,Youtube Premium,51535.85295653343,Bad for Sale
